id,type,name,latitude,longitude,district_code,grid_x,grid_y
1,AIR_MONITORIONG_STATION,이도동,33.500116,126.532371,5011053000,,
2,AIR_MONITORIONG_STATION,연동,33.48863,126.500055,5011065000,,
3,AIR_MONITORIONG_STATION,조천읍,33.539831,126.64412,5011025900,,
4,AIR_MONITORIONG_STATION,한림읍,33.409109,126.268778,5011025000,,
5,AIR_MONITORIONG_STATION,화북동,33.51733013,126.57045614,5011060000,,
6,AIR_MONITORIONG_STATION,동홍동,33.246244,126.56506,5013057000,,
7,AIR_MONITORIONG_STATION,성산읍,33.460229,126.91007,5013025900,,
8,AIR_MONITORIONG_STATION,남원읍,33.2843415,126.715115,5013025300,,
9,AIR_MONITORIONG_STATION,강정동,33.2508702,126.489923,5013060000,,
10,AIR_MONITORIONG_STATION,대정읍,33.2277489,126.2473589,5013025000,,
11,AIR_MONITORIONG_STATION,노형로,33.4838002,126.4746922,5011066000,,
12,AIR_MONITORIONG_STATION,고산리,33.292471,126.162165,,,
142,DISTRICT_CODE,한림읍,33.40714444444444,126.26908611111111,5011025000,48.0,36.0
143,DISTRICT_CODE,애월읍,33.458738888888895,126.33146666666666,5011025300,49.0,37.0
144,DISTRICT_CODE,구좌읍,33.51933611111111,126.854075,5011025600,59.0,38.0
145,DISTRICT_CODE,조천읍,33.53117777777778,126.63623333333334,5011025900,55.0,39.0
146,DISTRICT_CODE,한경면,33.3474,126.18601944444445,5011031000,46.0,35.0
147,DISTRICT_CODE,추자면,33.959472222222225,126.29614166666667,5011032000,48.0,48.0
148,DISTRICT_CODE,우도면,33.503255555555555,126.95542222222223,5011033000,60.0,38.0
149,DISTRICT_CODE,일도1동,33.51168611111111,126.52818611111111,5011051000,53.0,38.0
1,AIR_MONITORIONG_STATION,이도동,33.500116,126.532371,5011053000,,
2,AIR_MONITORIONG_STATION,연동,33.48863,126.500055,5011065000,,
3,AIR_MONITORIONG_STATION,조천읍,33.539831,126.64412,5011025900,,
4,AIR_MONITORIONG_STATION,한림읍,33.409109,126.268778,5011025000,,
5,AIR_MONITORIONG_STATION,화북동,33.51733013,126.57045614,5011060000,,
6,AIR_MONITORIONG_STATION,동홍동,33.246244,126.56506,5013057000,,
7,AIR_MONITORIONG_STATION,성산읍,33.460229,126.91007,5013025900,,
8,AIR_MONITORIONG_STATION,남원읍,33.2843415,126.715115,5013025300,,
9,AIR_MONITORIONG_STATION,강정동,33.2508702,126.489923,5013060000,,
10,AIR_MONITORIONG_STATION,대정읍,33.2277489,126.2473589,5013025000,,
11,AIR_MONITORIONG_STATION,노형로,33.4838002,126.4746922,5011066000,,
12,AIR_MONITORIONG_STATION,고산리,33.292471,126.162165,,,
142,DISTRICT_CODE,한림읍,33.40714444444444,126.26908611111111,5011025000,48.0,36.0
143,DISTRICT_CODE,애월읍,33.458738888888895,126.33146666666666,5011025300,49.0,37.0
144,DISTRICT_CODE,구좌읍,33.51933611111111,126.854075,5011025600,59.0,38.0
145,DISTRICT_CODE,조천읍,33.53117777777778,126.63623333333334,5011025900,55.0,39.0
146,DISTRICT_CODE,한경면,33.3474,126.18601944444445,5011031000,46.0,35.0
147,DISTRICT_CODE,추자면,33.959472222222225,126.29614166666667,5011032000,48.0,48.0
148,DISTRICT_CODE,우도면,33.503255555555555,126.95542222222223,5011033000,60.0,38.0
149,DISTRICT_CODE,일도1동,33.51168611111111,126.52818611111111,5011051000,53.0,38.0
1,AIR_MONITORIONG_STATION,이도동,33.500116,126.532371,5011053000,,
2,AIR_MONITORIONG_STATION,연동,33.48863,126.500055,5011065000,,
3,AIR_MONITORIONG_STATION,조천읍,33.539831,126.64412,5011025900,,
4,AIR_MONITORIONG_STATION,한림읍,33.409109,126.268778,5011025000,,
5,AIR_MONITORIONG_STATION,화북동,33.51733013,126.57045614,5011060000,,
6,AIR_MONITORIONG_STATION,동홍동,33.246244,126.56506,5013057000,,
7,AIR_MONITORIONG_STATION,성산읍,33.460229,126.91007,5013025900,,
8,AIR_MONITORIONG_STATION,남원읍,33.2843415,126.715115,5013025300,,
9,AIR_MONITORIONG_STATION,강정동,33.2508702,126.489923,5013060000,,
10,AIR_MONITORIONG_STATION,대정읍,33.2277489,126.2473589,5013025000,,
11,AIR_MONITORIONG_STATION,노형로,33.4838002,126.4746922,5011066000,,
12,AIR_MONITORIONG_STATION,고산리,33.292471,126.162165,,,
142,DISTRICT_CODE,한림읍,33.40714444444444,126.26908611111111,5011025000,48.0,36.0
143,DISTRICT_CODE,애월읍,33.458738888888895,126.33146666666666,5011025300,49.0,37.0
144,DISTRICT_CODE,구좌읍,33.51933611111111,126.854075,5011025600,59.0,38.0
145,DISTRICT_CODE,조천읍,33.53117777777778,126.63623333333334,5011025900,55.0,39.0
146,DISTRICT_CODE,한경면,33.3474,126.18601944444445,5011031000,46.0,35.0
147,DISTRICT_CODE,추자면,33.959472222222225,126.29614166666667,5011032000,48.0,48.0
148,DISTRICT_CODE,우도면,33.503255555555555,126.95542222222223,5011033000,60.0,38.0
149,DISTRICT_CODE,일도1동,33.51168611111111,126.52818611111111,5011051000,53.0,38.0
1,AIR_MONITORIONG_STATION,이도동,33.500116,126.532371,5011053000,,
2,AIR_MONITORIONG_STATION,연동,33.48863,126.500055,5011065000,,
3,AIR_MONITORIONG_STATION,조천읍,33.539831,126.64412,5011025900,,
4,AIR_MONITORIONG_STATION,한림읍,33.409109,126.268778,5011025000,,
5,AIR_MONITORIONG_STATION,화북동,33.51733013,126.57045614,5011060000,,
6,AIR_MONITORIONG_STATION,동홍동,33.246244,126.56506,5013057000,,
7,AIR_MONITORIONG_STATION,성산읍,33.460229,126.91007,5013025900,,
8,AIR_MONITORIONG_STATION,남원읍,33.2843415,126.715115,5013025300,,
9,AIR_MONITORIONG_STATION,강정동,33.2508702,126.489923,5013060000,,
10,AIR_MONITORIONG_STATION,대정읍,33.2277489,126.2473589,5013025000,,
11,AIR_MONITORIONG_STATION,노형로,33.4838002,126.4746922,5011066000,,
12,AIR_MONITORIONG_STATION,고산리,33.292471,126.162165,,,
142,DISTRICT_CODE,한림읍,33.40714444444444,126.26908611111111,5011025000,48.0,36.0
143,DISTRICT_CODE,애월읍,33.458738888888895,126.33146666666666,5011025300,49.0,37.0
144,DISTRICT_CODE,구좌읍,33.51933611111111,126.854075,5011025600,59.0,38.0
145,DISTRICT_CODE,조천읍,33.53117777777778,126.63623333333334,5011025900,55.0,39.0
146,DISTRICT_CODE,한경면,33.3474,126.18601944444445,5011031000,46.0,35.0
